missing=0 unexpected=0
num_classes=1 test_conf=0.001 nms=0.7 test_size=(800, 1440)
frame 1: 459 dets
  711.000 431.250 779.000 523.500 0.92670
  613.000 574.000 708.000 678.000 0.91681
  475.250 456.250 552.000 521.500 0.89766
  1129.000 621.000 1311.000 724.000 0.88636
  477.250 382.250 536.000 437.750 0.87027
  588.000 363.000 634.000 402.500 0.86796
  547.000 328.750 587.000 370.750 0.84448
  595.500 308.500 628.500 338.000 0.83570
  753.000 314.250 775.000 347.250 0.81005
  1120.000 410.000 1204.000 455.000 0.80212
  1082.000 442.500 1136.000 485.000 0.78220
  557.500 467.750 591.500 528.000 0.78000
  736.500 266.500 755.500 285.000 0.76921
  710.000 266.500 726.000 285.000 0.76527
  930.500 426.250 997.500 500.750 0.75692
  115.250 447.250 141.500 501.250 0.75134
  1205.000 529.000 1235.000 584.000 0.73055
  255.500 411.000 276.000 456.000 0.72647
  269.750 414.500 290.250 460.000 0.69990
  330.500 370.500 360.000 399.000 0.69241
  829.000 408.000 848.000 444.500 0.67494
  412.250 527.500 440.250 578.500 0.67396
  1155.000 463.250 1181.000 507.750 0.66157
  1152.000 466.750 1224.000 511.250 0.65015
  719.000 257.750 733.000 274.250 0.62494
  1229.000 410.750 1247.000 449.750 0.62278
  227.750 338.500 309.750 370.000 0.60914
  707.000 288.750 718.000 306.750 0.60340
  1204.000 541.500 1236.000 594.500 0.58625
  414.000 514.000 440.000 565.000 0.57566
  698.000 250.625 713.000 265.250 0.55271
  304.000 317.000 358.500 348.000 0.54955
  720.500 246.250 738.500 262.250 0.49681
  468.000 382.500 489.000 416.500 0.42842
  895.500 416.500 951.500 463.500 0.41393
  719.500 247.375 736.500 264.500 0.41032
  279.750 406.250 298.250 442.750 0.40035
  286.000 411.000 304.500 446.000 0.39502
  722.500 247.500 742.500 263.500 0.29400
  284.000 399.250 304.000 438.750 0.29316
  1237.000 481.750 1259.000 534.500 0.28775
  769.000 288.000 781.000 308.000 0.26891
  987.000 459.000 1006.000 502.500 0.23367
  829.000 415.750 847.000 447.750 0.23358
  730.000 250.625 745.000 264.750 0.23342
  762.500 292.000 773.500 311.000 0.22462
  393.500 294.500 427.000 317.000 0.19723
  756.500 271.500 766.500 287.500 0.17073
  1125.000 359.750 1141.000 389.250 0.15400
  715.500 258.750 730.500 275.750 0.14403
  887.500 410.250 931.500 441.750 0.14330
  905.500 345.250 919.500 376.250 0.14218
  898.000 292.750 938.000 320.250 0.11700
  1185.000 451.500 1203.000 487.000 0.10148
  1235.000 485.000 1255.000 533.500 0.09879
  274.750 409.500 294.250 452.500 0.09625
  996.000 446.750 1018.000 489.250 0.09343
  978.500 334.750 1013.500 361.750 0.09031
  930.000 340.250 942.000 368.250 0.08892
  1070.000 381.000 1086.000 415.500 0.07606
  1138.000 365.000 1152.000 390.000 0.06923
  988.000 391.500 1029.000 417.500 0.06820
  1190.000 431.250 1206.000 465.750 0.06052
  894.500 348.250 907.500 375.250 0.05889
  657.500 261.250 665.500 275.750 0.05625
  1233.000 482.250 1253.000 522.000 0.05303
  1001.500 452.750 1020.500 493.750 0.05286
  659.500 258.500 668.500 273.000 0.05264
  983.000 361.750 1019.000 388.250 0.05243
  249.375 326.000 320.750 356.500 0.05206
  662.000 257.000 670.000 270.500 0.03644
  365.750 299.250 404.250 330.250 0.03523
  695.500 246.250 711.500 263.250 0.03377
  1186.000 428.750 1204.000 460.750 0.03058
  579.000 154.750 611.000 168.750 0.03051
  1145.000 473.000 1163.000 508.000 0.03009
  692.500 276.500 699.500 288.500 0.02981
  727.500 247.625 744.500 264.500 0.02828
  825.000 419.750 846.000 447.750 0.02746
  901.000 379.000 923.000 409.500 0.02733
